Date,AMZN,DPZ,BTC,NFLX
2020-10-04 00:00:00+00:00,,,10669.5830078125,
2020-10-05 00:00:00+00:00,,,10793.33984375,
2020-10-05 04:00:00+00:00,159.9600067138672,399.6626281738281,,520.6500244140625
2020-10-06 00:00:00+00:00,,,10604.40625,
2020-10-06 04:00:00+00:00,154.9980010986328,402.0985412597656,,505.8699951171875
2020-10-07 00:00:00+00:00,,,10668.96875,
2020-10-07 04:00:00+00:00,159.7845001220703,405.40911865234375,,534.6599731445312
2020-10-08 00:00:00+00:00,,,10915.685546875,
2020-10-08 04:00:00+00:00,159.52749633789062,377.15606689453125,,531.7899780273438
2020-10-09 00:00:00+00:00,,,11064.4580078125,
2020-10-09 04:00:00+00:00,164.33250427246094,367.69451904296875,,539.4400024414062
2020-10-10 00:00:00+00:00,,,11296.361328125,
2020-10-11 00:00:00+00:00,,,11384.181640625,
2020-10-12 00:00:00+00:00,,,11555.36328125,
2020-10-12 04:00:00+00:00,172.14649963378906,369.2275695800781,,539.8099975585938
2020-10-13 00:00:00+00:00,,,11425.8994140625,
2020-10-13 04:00:00+00:00,172.18150329589844,383.4669494628906,,554.0900268554688
2020-10-14 00:00:00+00:00,,,11429.5068359375,
2020-10-14 04:00:00+00:00,168.1855010986328,379.2251892089844,,541.4500122070312
2020-10-15 00:00:00+00:00,,,11495.349609375,
2020-10-15 04:00:00+00:00,166.9324951171875,377.9366760253906,,541.9400024414062
2020-10-16 00:00:00+00:00,,,11322.123046875,
2020-10-16 04:00:00+00:00,163.635498046875,375.68890380859375,,530.7899780273438
2020-10-17 00:00:00+00:00,,,11358.1015625,
2020-10-18 00:00:00+00:00,,,11483.359375,
2020-10-19 00:00:00+00:00,,,11742.037109375,
2020-10-19 04:00:00+00:00,160.36050415039062,371.4001770019531,,530.719970703125
2020-10-20 00:00:00+00:00,,,11916.3349609375,
2020-10-20 04:00:00+00:00,160.85049438476562,370.9486999511719,,525.4199829101562
2020-10-21 00:00:00+00:00,,,12823.689453125,
2020-10-21 04:00:00+00:00,159.2469940185547,366.7539367675781,,489.04998779296875
2020-10-22 00:00:00+00:00,,,12965.8916015625,
2020-10-22 04:00:00+00:00,158.82000732421875,368.4374694824219,,485.2300109863281
2020-10-23 00:00:00+00:00,,,12931.5390625,
2020-10-23 04:00:00+00:00,160.22000122070312,370.6571044921875,,488.2799987792969
2020-10-24 00:00:00+00:00,,,13108.0625,
2020-10-25 00:00:00+00:00,,,13031.173828125,
2020-10-26 00:00:00+00:00,,,13075.248046875,
2020-10-26 04:00:00+00:00,160.3520050048828,371.1367492675781,,488.239990234375
2020-10-27 00:00:00+00:00,,,13654.21875,
2020-10-27 04:00:00+00:00,164.31649780273438,373.41278076171875,,488.92999267578125
2020-10-28 00:00:00+00:00,,,13271.28515625,
2020-10-28 04:00:00+00:00,158.13900756835938,361.1579284667969,,486.239990234375
2020-10-29 00:00:00+00:00,,,13437.8828125,
2020-10-29 04:00:00+00:00,160.55050659179688,363.7160949707031,,504.2099914550781
2020-10-30 00:00:00+00:00,,,13546.5224609375,
2020-10-30 04:00:00+00:00,151.8074951171875,355.8157958984375,,475.739990234375
2020-10-31 00:00:00+00:00,,,13780.9951171875,
2020-11-01 00:00:00+00:00,,,13737.109375,
2020-11-02 00:00:00+00:00,,,13550.4892578125,
2020-11-02 05:00:00+00:00,150.2239990234375,353.6620178222656,,484.1199951171875
2020-11-03 00:00:00+00:00,,,13950.30078125,
2020-11-03 05:00:00+00:00,152.42050170898438,360.443115234375,,487.2200012207031
2020-11-04 00:00:00+00:00,,,14133.70703125,
2020-11-04 05:00:00+00:00,162.05799865722656,369.1710510253906,,496.95001220703125
2020-11-05 00:00:00+00:00,,,15579.8486328125,
2020-11-05 05:00:00+00:00,166.10000610351562,372.6510009765625,,513.760009765625
2020-11-06 00:00:00+00:00,,,15565.880859375,
2020-11-06 05:00:00+00:00,165.56849670410156,376.0650939941406,,514.72998046875
2020-11-07 00:00:00+00:00,,,14833.75390625,
2020-11-08 00:00:00+00:00,,,15479.5673828125,
2020-11-09 00:00:00+00:00,,,15332.3154296875,
2020-11-09 05:00:00+00:00,157.18699645996094,354.1510314941406,,470.5
